,Flow status,Flow date,Decision date,Amount (USD),Source Organization,Source Organization type,Source Location,Source Usage year,Source Field cluster,Source Sector,Destination Organization,Destination Usage year,Destination Organization type,Destination Location,Destination Field cluster,Destination Sector,New money,Last updated,Created,Earmarking,Budget year,Contribution type,Flow type,Reporting organization,Unnamed: 41,Unnamed: 42,Unnamed: 43
127552,Paid Contribution,26/11/2016,26/11/2016,1190334,"Norway, Government of",Government: National government,Norway,2016,,,World Food Programme,2016,UN agency,Yemen,Logistics,Logistics,Yes,21/11/2017,15/03/2017,,,financial,Standard,World Food Programme,,,
127553,Paid Contribution,26/11/2016,07/03/2017,1006,,,,2016,,,World Food Programme,2016,UN agency,Yemen,Logistics,Logistics,Yes,21/11/2017,15/03/2017,,,financial,Standard,World Food Programme,,,
127556,Paid Contribution,25/11/2016,25/11/2016,3260870,"Netherlands, Government of",Government: National government,Netherlands,2016,,,World Food Programme,2016,UN agency,Yemen,Food Security and Agriculture,Food Security,Yes,16/03/2017,16/03/2017,,,financial,Standard,World Food Programme,,,
127557,Paid Contribution,20/12/2016,20/12/2016,3504673,"Norway, Government of",Government: National government,Norway,2016,,,World Food Programme,2016,UN agency,Yemen,Food Security and Agriculture,Food Security,Yes,16/03/2017,16/03/2017,,,financial,Standard,World Food Programme,,,
127558,Paid Contribution,27/11/2016,27/11/2016,100000,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2016,,,World Food Programme,2016,UN agency,Yemen,Food Security and Agriculture,Food Security,Yes,16/03/2017,16/03/2017,,,financial,Standard,World Food Programme,,,
127635,Paid Contribution,18/10/2016,18/10/2016,540800,"Norway, Government of",Government: National government,Norway,2016,,,Norwegian Refugee Council,2016,NGO: International,Yemen,,,Yes,04/04/2017,04/04/2017,,2016,financial,Standard,"Norway, Government of",,,
127636,Paid Contribution,16/11/2016,16/11/2016,69703,"Norway, Government of",Government: National government,Norway,2016,,,Handicap International / Humanity & Inclusion,2016,NGO: International,Yemen,Protection,Protection,Yes,04/04/2017,04/04/2017,,2016,financial,Standard,"Norway, Government of",,,
127637,Paid Contribution,25/10/2016,25/10/2016,600889,"Norway, Government of",Government: National government,Norway,2016,,,International Committee of the Red Cross,2016,Red Cross/Red Crescent: International Society,Yemen,,Protection,Yes,04/04/2017,04/04/2017,,2016,financial,Standard,"Norway, Government of",,,
127648,Paid Contribution,06/04/2017,,1552788,"Qatar, Government of",Government: National government,Qatar,2016,,,Qatar Red Crescent Society,2016,Red Cross/Red Crescent: National Society,Yemen,Health,Health,Yes,07/04/2017,07/04/2017,,2016,financial,Standard,"Qatar, Government of",,,
127649,Paid Contribution,06/04/2017,,305139,"Qatar, Government of",Government: National government,Qatar,2016,,,Qatar Red Crescent Society,2016,Red Cross/Red Crescent: National Society,Yemen,Health,Health,Yes,07/04/2017,07/04/2017,,2016,financial,Standard,"Qatar, Government of",,,
127650,Paid Contribution,06/04/2017,,267785,"Qatar, Government of",Government: National government,Qatar,2016,,,Qatar Red Crescent Society,2016,Red Cross/Red Crescent: National Society,Yemen,Health,Health,Yes,07/04/2017,07/04/2017,,2016,financial,Standard,"Qatar, Government of",,,
127669,Paid Contribution,19/06/2016,19/06/2016,559120,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2016,,,Private (individuals & organizations),2016,Private organization/foundation: International organization/foundation/individual,Yemen,,Protection,Yes,26/04/2017,26/04/2017,,,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
127677,Paid Contribution,20/06/2016,20/06/2016,800000,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2016,,,Alyateem Development Foundation,2016,NGO: Local,Yemen,,Multi-sector,Yes,27/04/2017,27/04/2017,,,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
127678,Paid Contribution,12/11/2016,12/11/2016,36000,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2016,,,Yemen Higher Relief Committee,2016,NGO: National,Yemen,,Logistics,Yes,21/11/2017,27/04/2017,,,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
127766,Paid Contribution,04/12/2016,04/12/2016,2668119,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2016,,,Red Crescent Society of the United Arab Emirates,2016,Red Cross/Red Crescent: National Society,Yemen,,,Yes,28/06/2017,28/06/2017,,2016,financial,Standard,"United Arab Emirates, Government of",,,
127767,Paid Contribution,01/12/2016,01/12/2016,10672,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2016,,,Red Crescent Society of the United Arab Emirates,2016,Red Cross/Red Crescent: National Society,Yemen,,Water Sanitation Hygiene,Yes,28/06/2017,28/06/2017,,2016,financial,Standard,"United Arab Emirates, Government of",,,
127769,Paid Contribution,04/12/2016,04/12/2016,2337272,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2016,,,Red Crescent Society of the United Arab Emirates,2016,Red Cross/Red Crescent: National Society,Yemen,,Food Security,Yes,28/06/2017,28/06/2017,,2016,financial,Standard,Red Crescent Society of the United Arab Emirates,,,
127770,Paid Contribution,12/12/2016,12/12/2016,13128,"United Arab Emirates, Government of",Government: National government,United Arab Emirates,2016,,,Red Crescent Society of the United Arab Emirates,2016,Red Cross/Red Crescent: National Society,Yemen,,Food Security,Yes,28/06/2017,28/06/2017,,2016,financial,Standard,"United Arab Emirates, Government of",,,
127805,Paid Contribution,01/09/2016,,1509382,"United States of America, Government of",Government: National government,United States,2016,,,Agency for Technical Cooperation and Development,2016,NGO: International,Yemen,Food Security and Agriculture,Food Security,Yes,24/08/2017,24/08/2017,,2016,financial,Standard,Agency for Technical Cooperation and Development,,,
127806,Paid Contribution,30/08/2016,,377516,"United States of America, Government of",Government: National government,United States,2016,,,Agency for Technical Cooperation and Development,2016,NGO: International,Yemen,Coordination and Safety,Coordination and support services,Yes,24/08/2017,24/08/2017,,2016,financial,Standard,Agency for Technical Cooperation and Development,,,
127807,Paid Contribution,30/08/2016,,354013,"United States of America, Government of",Government: National government,United States,2016,,,Agency for Technical Cooperation and Development,2016,NGO: International,Yemen,Shelter/NFI/CCCM,Emergency Shelter and NFI,Yes,24/08/2017,24/08/2017,,,financial,Standard,Agency for Technical Cooperation and Development,,,
127808,Paid Contribution,30/08/2016,,354039,"United States of America, Government of",Government: National government,United States,2016,,,Agency for Technical Cooperation and Development,2016,NGO: International,Yemen,Shelter/NFI/CCCM,Emergency Shelter and NFI,Yes,24/08/2017,24/08/2017,,2016,financial,Standard,Agency for Technical Cooperation and Development,,,
127809,Paid Contribution,30/08/2016,,751835,"United States of America, Government of",Government: National government,United States,2016,,,Agency for Technical Cooperation and Development,2016,NGO: International,Yemen,"Water, Sanitation and Hygiene",Water Sanitation Hygiene,Yes,24/08/2017,24/08/2017,,,financial,Standard,Agency for Technical Cooperation and Development,,,
127993,Paid Contribution,01/05/2016,,1695350,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2016,,,"Yemen, Government of",2016,Government: National government,Yemen,,Health,Yes,27/12/2018,27/12/2018,,,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
128004,Paid Contribution,22/11/2016,22/11/2016,391440,"Korea, Republic of, Government of",Government: National government,"Korea, Republic of",2016,,,International Organization for Migration,2016,UN agency,Yemen,Health,Health,Yes,21/01/2019,21/01/2019,,,financial,Standard,International Organization for Migration,,,
128099,Paid Contribution,31/12/2015,31/12/2015,3383821,World Bank,Inter-governmental,,2016,,,United Nations Children's Fund,2017,UN agency,Yemen,Health,Health,Yes,09/06/2017,02/02/2017,,2016,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
128147,Paid Contribution,02/11/2017,01/09/2016,278707,"Belgium, Government of",Government: National government,Belgium,2016,,,Office for the Coordination of Humanitarian Affairs,2017,UN agency,Yemen,Coordination and Safety,Coordination and support services,Yes,06/11/2017,04/11/2017,,2017,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
128234,Paid Contribution,01/05/2016,01/05/2016,23146899,"United Kingdom, Government of",Government: National government,United Kingdom,2016,,,United Nations Children's Fund,2017,UN agency,Yemen,Nutrition,Nutrition,Yes,21/11/2017,17/08/2017,,2016,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
128274,Paid Contribution,28/04/2017,27/09/2016,11795544,"United Kingdom, Government of",Government: National government,United Kingdom,2016,,,Yemen Humanitarian Fund,2017,Pooled fund: Country-based,Yemen,,,Yes,02/05/2017,02/05/2017,softly earmarked,2018,financial,Standard,"United Kingdom, Government of",,,
128421,Paid Contribution,27/03/2017,29/12/2016,558847,"Sweden, Government of",Government: National government,Sweden,2017,,,Office for the Coordination of Humanitarian Affairs,2017,UN agency,Yemen,Coordination and Safety,Coordination and support services,Yes,31/03/2017,31/03/2017,,2017,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
128443,Paid Contribution,30/12/2016,30/12/2016,3750635,Yemen Humanitarian Fund,Pooled fund: Country-based,Yemen,2016,,,World Health Organization,2017,UN agency,Yemen,Health,Health,No,26/04/2017,06/01/2017,softly earmarked,2016,financial,Standard,Yemen Humanitarian Fund,,,
128444,Paid Contribution,30/12/2016,30/12/2016,937659,Yemen Humanitarian Fund,Pooled fund: Country-based,Yemen,2016,,,World Health Organization,2017,UN agency,Yemen,Health,Health,No,26/04/2017,06/01/2017,softly earmarked,2016,financial,Standard,Yemen Humanitarian Fund,,,
128509,Paid Contribution,13/01/2017,25/12/2016,17000,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,Yemen,2017,,,International Youth Council - Yemen,2017,NGO: National,Yemen,Emergency Employment and Community Rehabilitation,Early Recovery,Yes,29/01/2018,20/01/2017,,,financial,Standard,International Youth Council - Yemen,,,
128677,Paid Contribution,17/07/2017,27/01/2017,2500000,"United States of America, Government of",Government: National government,United States,2017,,,Office for the Coordination of Humanitarian Affairs,2017,UN agency,Yemen,Coordination and Safety,Coordination and support services,Yes,25/07/2017,21/07/2017,,,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
128692,Paid Contribution,24/01/2017,24/01/2017,2282413,"United States of America, Government of",Government: National government,United States,2017,,,World Health Organization,2017,UN agency,Yemen,Health,Health,Yes,11/08/2017,11/08/2017,,2017,financial,Standard,"United States of America, Government of",,,
128744,Paid Contribution,28/02/2017,07/02/2017,104800,"Japan, Government of",Government: National government,Japan,2017,,,Office for the Coordination of Humanitarian Affairs,2017,UN agency,Yemen,Coordination and Safety,Coordination and support services,Yes,02/03/2017,02/03/2017,,,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
128794,Paid Contribution,17/02/2017,10/02/2017,5082449,"Sweden, Government of",Government: National government,Sweden,2017,,,Yemen Humanitarian Fund,2017,Pooled fund: Country-based,Yemen,,,Yes,07/04/2017,07/04/2017,,,financial,Standard,"Sweden, Government of",,,
128967,Paid Contribution,20/02/2017,20/02/2017,718924,"Italy, Government of",Government: National government,Italy,2017,,,International Organization for Migration,2017,UN agency,Yemen,Protection,Protection,Yes,10/08/2017,10/08/2017,,2017,financial,Standard,"Italy, Government of",,,
128968,Paid Contribution,20/02/2017,20/02/2017,391937,"Italy, Government of",Government: National government,Italy,2017,,,United Nations Population Fund,2017,UN agency,Yemen,Health,Health,Yes,15/02/2018,15/02/2018,,2017,financial,Standard,United Nations Population Fund,,,
128989,Paid Contribution,13/10/2017,24/02/2017,4550626,"Belgium, Government of",Government: National government,Belgium,2017,,,Yemen Humanitarian Fund,2017,Pooled fund: Country-based,Yemen,,,Yes,17/10/2017,17/10/2017,softly earmarked,,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
129052,Paid Contribution,28/02/2017,28/02/2017,4169100,"Japan, Government of",Government: National government,Japan,2017,,,World Health Organization,2017,UN agency,Yemen,Health,Health,Yes,07/03/2017,02/03/2017,,,financial,Standard,World Health Organization,,,
129057,Paid Contribution,29/01/2017,29/01/2017,600000,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2017,,,"Yemen, Government of",2017,Government: National government,Yemen,,Health,Yes,02/03/2017,02/03/2017,,,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
129058,Paid Contribution,29/01/2017,29/01/2017,600000,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2017,,,"Yemen, Government of",2017,Government: National government,Yemen,,Health,Yes,02/03/2017,02/03/2017,,,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
129059,Paid Contribution,29/01/2017,29/01/2017,600000,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2017,,,"Yemen, Government of",2017,Government: National government,Yemen,,Health,Yes,02/03/2017,02/03/2017,,,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
129060,Paid Contribution,29/01/2017,29/01/2017,600000,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2017,,,"Yemen, Government of",2017,Government: National government,Yemen,,Health,Yes,02/03/2017,02/03/2017,,,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
129061,Paid Contribution,29/01/2017,29/01/2017,600000,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2017,,,"Yemen, Government of",2017,Government: National government,Yemen,,Health,Yes,02/03/2017,02/03/2017,,,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
129062,Paid Contribution,09/01/2017,09/01/2017,7476643,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2017,,,"Yemen, Government of",2017,Government: National government,Yemen,,Coordination and support services,Yes,02/03/2017,02/03/2017,,,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
129068,Paid Contribution,01/02/2017,01/02/2017,10290,UNICEF National Committee/Canada,Private organization/foundation: Local/National organization/foundation/individual,,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,Health,Health,Yes,22/02/2018,03/03/2017,,,financial,Standard,United Nations Children's Fund,,,
129069,Paid Contribution,31/12/2017,01/10/2016,456156,"Netherlands, Government of",Government: National government,Netherlands,2016,,,United Nations Children's Fund,2017,UN agency,Yemen,WASH,Water Sanitation Hygiene,Yes,14/07/2017,03/03/2017,,,financial,Standard,United Nations Children's Fund,,,
129070,Paid Contribution,30/12/2017,07/12/2016,3184713,"Germany, Government of",Government: National government,Germany,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,Protection,Protection,Yes,22/03/2017,03/03/2017,,,financial,Standard,United Nations Children's Fund,,,
129071,Paid Contribution,01/10/2017,19/12/2016,5838641,"Germany, Government of",Government: National government,Germany,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,WASH,Water Sanitation Hygiene,Yes,23/05/2017,03/03/2017,,,financial,Standard,United Nations Children's Fund,,,
129072,Paid Contribution,01/10/2017,19/12/2016,5838641,"Germany, Government of",Government: National government,Germany,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,,,Yes,23/05/2017,03/03/2017,,,financial,Standard,United Nations Children's Fund,,,
129158,Paid Contribution,01/03/2017,01/03/2017,1481239,,,,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,12/02/2018,21/12/2017,,,financial,Standard,World Food Programme,,,
129159,Paid Contribution,17/02/2017,09/02/2017,12992600,"Japan, Government of",Government: National government,Japan,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,18/04/2017,18/04/2017,,,financial,Standard,"Japan, Government of",,,
129160,Paid Contribution,01/12/2016,01/12/2016,1000000,"Russian Federation, Government of",Government: National government,Russian Federation,2017,,,World Food Programme,2017,UN agency,Yemen,Food Security and Agriculture,Food Security,Yes,08/11/2017,28/09/2017,,,financial,Standard,World Food Programme,,,
129187,Paid Contribution,11/04/2017,08/03/2017,3717472,"Canada, Government of",Government: National government,Canada,2017,,,Yemen Humanitarian Fund,2017,Pooled fund: Country-based,Yemen,,,Yes,18/04/2017,30/03/2017,softly earmarked,,financial,Standard,"Canada, Government of",,,
129189,Paid Contribution,11/05/2017,08/03/2017,542888,"Austria, Government of",Government: National government,Austria,2017,,,Office for the Coordination of Humanitarian Affairs,2017,UN agency,Yemen,Coordination and Safety,Coordination and support services,Yes,26/07/2017,26/07/2017,,,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
129243,Paid Contribution,23/02/2017,23/02/2017,1659476,"Sweden, Government of",Government: National government,Sweden,2017,,,United Nations High Commissioner for Refugees,2017,UN agency,Yemen,Protection,Protection,Yes,21/12/2017,21/12/2017,,2017,financial,Standard,United Nations High Commissioner for Refugees,,,
129297,Paid Contribution,28/02/2017,14/02/2017,5719284,"Japan, Government of",Government: National government,Japan,2017,,,United Nations High Commissioner for Refugees,2017,UN agency,Yemen,Multi-Sector,Multi-sector,Yes,17/10/2017,17/10/2017,,,financial,Standard,United Nations High Commissioner for Refugees,,,
129298,Paid Contribution,28/02/2017,14/02/2017,1533813,"Japan, Government of",Government: National government,Japan,2017,,,United Nations High Commissioner for Refugees,2017,UN agency,Yemen,Protection,Protection,Yes,21/12/2017,21/12/2017,,,financial,Standard,United Nations High Commissioner for Refugees,,,
129299,Paid Contribution,28/02/2017,28/02/2017,92,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2017,,,United Nations High Commissioner for Refugees,2017,UN agency,Yemen,Protection,Protection,Yes,21/12/2017,21/12/2017,,,financial,Standard,United Nations High Commissioner for Refugees,,,
129389,Paid Contribution,10/03/2017,,2500000,"United States of America, Government of",Government: National government,United States,2017,,,World Food Programme,2017,UN agency,Yemen,Emergency Telecommunications,Emergency Telecommunications,Yes,14/02/2018,14/02/2018,,2017,financial,Standard,World Food Programme,,,
129390,Paid Contribution,10/03/2017,,18700000,"United States of America, Government of",Government: National government,United States,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,,,Yes,07/12/2017,07/12/2017,,2017,financial,Standard,"United States of America, Government of",,,
129529,Paid Contribution,31/01/2017,,550046,"Norway, Government of",Government: National government,Norway,2017,,,Norwegian Refugee Council,2017,NGO: International,Yemen,Food Security and Agriculture,Food Security,Yes,06/04/2017,22/03/2017,,2017,financial,Standard,"Norway, Government of",,,
129567,Paid Contribution,01/02/2017,01/02/2017,6184100,"Japan, Government of",Government: National government,Japan,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,,,Yes,22/03/2017,22/03/2017,,2017,financial,Standard,United Nations Children's Fund,,,
129601,Paid Contribution,30/03/2017,20/03/2017,5336179,"Netherlands, Government of",Government: National government,Netherlands,2017,,,Yemen Humanitarian Fund,2017,Pooled fund: Country-based,Yemen,,,Yes,24/08/2017,24/08/2017,softly earmarked,,financial,Standard,"Netherlands, Government of",,,
129668,Paid Contribution,20/02/2017,20/02/2017,1920036,"Sweden, Government of",Government: National government,Sweden,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,,,Yes,23/05/2017,23/05/2017,,2017,financial,Standard,United Nations Children's Fund,,,
129730,Paid Contribution,23/03/2017,23/03/2017,26674777,European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,2016,,,World Food Programme,2017,UN agency,Yemen,,,Yes,31/10/2017,31/10/2017,,2016,financial,Standard,World Food Programme,,,
129841,Paid Contribution,17/04/2017,23/03/2017,1096011,"Sweden, Government of",Government: National government,Sweden,2017,,,International Organization for Migration,2017,UN agency,Yemen,Health,Health,Yes,18/04/2017,18/04/2017,,2017,financial,Standard,International Organization for Migration,,,
129863,Paid Contribution,21/03/2017,21/03/2017,1250,"Sri Lanka, Government of",Government: National government,Sri Lanka,2017,,,Yemen Humanitarian Fund,2017,Pooled fund: Country-based,Yemen,,,Yes,29/03/2017,29/03/2017,softly earmarked,,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
130089,Paid Contribution,01/10/2016,01/10/2016,762858,"United States of America, Government of",Government: National government,United States,2017,,,United Nations Development Programme,2017,UN agency,Yemen,Emergency Employment and Community Rehabilitation,Mine Action,Yes,04/04/2017,04/04/2017,,2017,financial,Standard,United Nations Development Programme,,,
130091,Paid Contribution,01/11/2016,01/11/2016,645572,"Netherlands, Government of",Government: National government,Netherlands,2016,,,United Nations Development Programme,2017,UN agency,Yemen,Emergency Employment and Community Rehabilitation,Mine Action,Yes,04/04/2017,04/04/2017,,2017,financial,Standard,United Nations Development Programme,,,
130123,Paid Contribution,06/03/2017,06/03/2017,1600854,"Finland, Government of",Government: National government,Finland,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,13/04/2017,11/04/2017,,2017,financial,Standard,World Food Programme,,,
130220,Paid Contribution,16/03/2017,16/03/2017,1486989,"Canada, Government of",Government: National government,Canada,2017,,,United Nations High Commissioner for Refugees,2017,UN agency,Yemen,,,Yes,18/04/2017,18/04/2017,,2016,financial,Standard,United Nations High Commissioner for Refugees,,,
130225,Paid Contribution,16/03/2017,16/03/2017,1115242,"Canada, Government of",Government: National government,Canada,2017,,,United Nations Children's Fund,2017,UN agency,Yemen,,,Yes,23/05/2017,23/05/2017,,2016,financial,Standard,United Nations Children's Fund,,,
130226,Paid Contribution,16/03/2017,16/03/2017,5204461,"Canada, Government of",Government: National government,Canada,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,13/04/2017,11/04/2017,,2016,financial,Standard,World Food Programme,,,
130227,Paid Contribution,16/03/2017,16/03/2017,743494,"Canada, Government of",Government: National government,Canada,2017,,,World Food Programme,2017,UN agency,Yemen,Emergency Telecommunications,Emergency Telecommunications,Yes,14/02/2018,14/02/2018,,2016,financial,Standard,World Food Programme,,,
130287,Paid Contribution,28/03/2017,28/03/2017,420999,"Sweden, Government of",Government: National government,Sweden,2017,,,International Rescue Committee,2017,NGO: International,Yemen,Health,Health,Yes,07/11/2017,07/11/2017,,2017,financial,Standard,International Rescue Committee,,,
130349,Paid Contribution,06/04/2017,,992758,"Qatar, Government of",Government: National government,Qatar,2017,,,Qatar Red Crescent Society,2017,Red Cross/Red Crescent: National Society,Yemen,Health,Health,Yes,07/04/2017,07/04/2017,,,financial,Standard,Qatar Red Crescent Society,,,
130351,Paid Contribution,06/04/2017,,70548,"Qatar, Government of",Government: National government,Qatar,2017,,,Qatar Red Crescent Society,2017,Red Cross/Red Crescent: National Society,Yemen,Health,Health,Yes,07/04/2017,07/04/2017,,,financial,Standard,Qatar Red Crescent Society,,,
130352,Paid Contribution,06/04/2017,,191393,"Qatar, Government of",Government: National government,Qatar,2017,,,Qatar Red Crescent Society,2017,Red Cross/Red Crescent: National Society,Yemen,Health,Health,Yes,07/04/2017,07/04/2017,,,financial,Standard,Qatar Red Crescent Society,,,
130356,Paid Contribution,16/04/2017,16/04/2017,759857,"Canada, Government of",Government: National government,Canada,2017,,,International Organization for Migration,2017,UN agency,Yemen,,,Yes,10/01/2019,10/01/2019,,,financial,Standard,International Organization for Migration,,,
130435,Paid Contribution,01/06/2017,02/04/2017,25000,Arab Gulf Programme for United Nations Development Organizations,Inter-governmental,Saudi Arabia,2017,,,Yemen Humanitarian Fund,2017,Pooled fund: Country-based,Yemen,,,Yes,27/06/2017,24/06/2017,softly earmarked,,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
130534,Paid Contribution,09/03/2017,09/03/2017,1500000,"United States of America, Government of",Government: National government,United States,2017,,,World Food Programme,2017,UN agency,Yemen,Logistics,Logistics,Yes,21/11/2017,28/09/2017,,2017,financial,Standard,World Food Programme,,,
130535,Paid Contribution,03/04/2017,03/04/2017,66865626,"United States of America, Government of",Government: National government,United States,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,28/06/2018,11/04/2017,,2017,in kind,Standard,"United States of America, Government of",,,
130536,Paid Contribution,16/03/2017,16/03/2017,261712,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,13/04/2017,11/04/2017,,2017,financial,Standard,World Food Programme,,,
130537,Paid Contribution,30/03/2017,30/03/2017,1489573,"Switzerland, Government of",Government: National government,Switzerland,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,10/05/2017,10/05/2017,,2017,financial,Standard,"Switzerland, Government of",,,
130538,Paid Contribution,01/03/2017,01/03/2017,2982107,"Switzerland, Government of",Government: National government,Switzerland,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,10/05/2017,10/05/2017,,2017,financial,Standard,"Switzerland, Government of",,,
130539,Paid Contribution,01/04/2017,01/04/2017,5000000,"China, Government of",Government: National government,China,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,13/04/2017,11/04/2017,,2017,financial,Standard,World Food Programme,,,
130540,Paid Contribution,01/01/2017,01/01/2017,560391,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2017,,,World Food Programme,2017,UN agency,Yemen,,,Yes,13/02/2018,21/12/2017,,,financial,Standard,World Food Programme,,,
130562,Paid Contribution,16/03/2017,16/03/2017,375940,"Canada, Government of",Government: National government,Canada,2017,,,World Health Organization,2017,UN agency,Yemen,Health,Health,Yes,24/04/2017,12/04/2017,,,financial,Standard,"Canada, Government of",,,
130584,Paid Contribution,16/03/2017,16/03/2017,772710,"Canada, Government of",Government: National government,Canada,2017,,,United Nations Population Fund,2017,UN agency,Yemen,Health,Health,Yes,15/02/2018,15/02/2018,,,financial,Standard,United Nations Population Fund,,,
130707,Paid Contribution,31/03/2017,,986193,"Switzerland, Government of",Government: National government,Switzerland,2017,,,United Nations High Commissioner for Refugees,2017,UN agency,Yemen,,,Yes,18/04/2017,18/04/2017,,,financial,Standard,"Switzerland, Government of",,,
130717,Paid Contribution,17/04/2017,06/03/2017,1049050,"Japan, Government of",Government: National government,Japan,2017,,,International Organization for Migration,2017,UN agency,Yemen,,,Yes,18/04/2017,18/04/2017,,2017,financial,Standard,"Japan, Government of",,,
130719,Paid Contribution,17/04/2017,06/03/2017,1049050,"Japan, Government of",Government: National government,Japan,2017,,,International Organization for Migration,2017,UN agency,Yemen,Shelter/CCCM/NFIs,Emergency Shelter and NFI,Yes,10/01/2019,18/04/2017,,2017,financial,Standard,International Organization for Migration,,,
130728,Paid Contribution,04/04/2017,16/03/2017,321278,"Japan, Government of",Government: National government,Japan,2017,,,United Nations High Commissioner for Refugees,2017,UN agency,Yemen,Shelter/CCCM/NFIs,Emergency Shelter and NFI,Yes,21/12/2017,21/12/2017,,,financial,Standard,United Nations High Commissioner for Refugees,,,
130729,Paid Contribution,04/04/2017,04/04/2017,4800000,"United States of America, Government of",Government: National government,United States,2017,,,United Nations High Commissioner for Refugees,2017,UN agency,Yemen,Multi-Sector,Multi-sector,Yes,18/07/2017,18/04/2017,,,financial,Standard,"United States of America, Government of",,,
130730,Paid Contribution,04/04/2017,04/04/2017,5000000,"United States of America, Government of",Government: National government,United States,2017,,,United Nations High Commissioner for Refugees,2017,UN agency,Yemen,Protection,Protection,Yes,21/12/2017,21/12/2017,,,financial,Standard,United Nations High Commissioner for Refugees,,,
130731,Paid Contribution,04/04/2017,04/04/2017,1200423,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,2017,,,United Nations High Commissioner for Refugees,2017,UN agency,Yemen,,,Yes,12/07/2017,18/04/2017,,,financial,Standard,United Nations High Commissioner for Refugees,,,
131037,Paid Contribution,02/05/2017,10/04/2017,3222342,"Germany, Government of",Government: National government,Germany,2017,,,Yemen Humanitarian Fund,2017,Pooled fund: Country-based,Yemen,,,Yes,08/05/2017,04/05/2017,softly earmarked,,financial,Standard,Office for the Coordination of Humanitarian Affairs,,,
131039,Paid Contribution,07/02/2017,07/02/2017,2060097,"Saudi Arabia (Kingdom of), Government of",Government: National government,Saudi Arabia,2017,,,Enjaz foundation for development,2017,NGO: Local,Yemen,,Food Security,Yes,26/04/2017,26/04/2017,,,financial,Standard,"Saudi Arabia (Kingdom of), Government of",,,
