,Flow ID,Flow status,Flow date,Decision date,Amount (USD),Original amount,Description,Source Organization,Source Organization type,Source Emergency,Source Location,Source Project,Source Usage year,Source Plan,Source Field cluster,Source Sector,Destination Organization,DestOrgCode,Destination Usage year,DestoOrgCode,Destination Plan,Destination Organization type,Destination Emergency,Destination Location,Destination Project,Destination Field cluster,Destination Sector,Linked parent ID,Linked child ID,New money,Donor project code,Modality,Last updated,Created,Version ID,Earmarking,Budget year,Contribution type,Exchange rate,Original currency,Amount shared on boundary (USD),Flow type,Reporting organization,Unnamed: 41,Unnamed: 42,Unnamed: 43
122476,145869,Paid Contribution,03/10/2016,11/08/2016,554939,500000,"Yemen - ERF, OCT 5263","Spain, Government of",Government: National government,,Spain,,2016,,,,Yemen Humanitarian Fund,,2016,,Yemen Humanitarian Response Plan 2016,Pooled fund: Country-based,,Yemen,,,,,,Yes,OCT 5263,Traditional aid,05/10/2016,05/08/2016,1,softly earmarked,2016,financial,0.901,European Euro,,Standard,,,,
122608,146011,Paid Contribution,12/07/2016,12/07/2016,1055100,9000000,Emergency relief to affected populations,"Sweden, Government of",Government: National government,,Sweden,,2016,,,,United Nations Children's Fund,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,,,,,,Yes,[EDRIS:77722],Traditional aid,22/08/2016,10/08/2016,1,,2016,financial,8.53,Swedish Krona,,Standard,"Sweden, Government of",,,
122682,146129,Paid Contribution,15/08/2016,15/08/2016,10000000,,Provision of support to ensure access to life saving medical and nutrition care in Yemen,"United States of America, Government of",Government: National government,,United States,,2016,,,,World Health Organization,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/H/92104/122,Health,Health,,,Yes,,Traditional aid,13/09/2016,15/08/2016,1,,2016,financial,,US Dollar,,Standard,"United States of America, Government of",,,
122708,146177,Paid Contribution,02/08/2016,02/08/2016,5767665,,Cluster not yet specified,"Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2016,,,,United Nations High Commissioner for Refugees,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/SNYS/92111/120,,,,,Yes,,Traditional aid,03/02/2017,17/08/2016,1,,2016,financial,,US Dollar,,Standard,United Nations High Commissioner for Refugees,,,
122709,146178,Paid Contribution,02/08/2016,02/08/2016,408163,,Cluster not yet specified,Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,,,2016,,,,United Nations High Commissioner for Refugees,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/SNYS/92111/120,,,,,Yes,,Traditional aid,17/08/2016,17/08/2016,1,,2016,financial,,US Dollar,,Standard,United Nations High Commissioner for Refugees,,,
122710,146179,Paid Contribution,02/08/2016,02/08/2016,771203,,Cluster not yet specified (through EAC),Private (individuals & organizations),Private organization/foundation: International organization/foundation/individual,,,,2016,,,,United Nations High Commissioner for Refugees,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/SNYS/92111/120,,,,,Yes,,Traditional aid,17/08/2016,17/08/2016,1,,2016,financial,,US Dollar,,Standard,United Nations High Commissioner for Refugees,,,
122778,146350,Paid Contribution,30/08/2016,30/08/2016,648508,500000,"Yemen - OCHA Office  [OCT 5317],","United Kingdom, Government of",Government: National government,,United Kingdom,,2016,,,,Office for the Coordination of Humanitarian Affairs,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/CSS/92087/119,Coordination and Safety,Coordination and support services,,,Yes,[OCT 5317];[20416-105 40096934],Traditional aid,20/12/2016,23/08/2016,1,,2016,financial,0.771001,Pound Sterling,,Standard,Office for the Coordination of Humanitarian Affairs,,,
122780,146352,Paid Contribution,19/08/2016,19/08/2016,389105,300000,"Yemen - OCHA Office  [OCT 5316], OCT 5316","United Kingdom, Government of",Government: National government,,United Kingdom,,2016,,,,Office for the Coordination of Humanitarian Affairs,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/CSS/92087/119,Coordination and Safety,Coordination and support services,,,Yes,[OCT 5316];[20416-105 40096934],Traditional aid,21/09/2016,23/08/2016,1,,2016,financial,0.771,Pound Sterling,,Standard,Office for the Coordination of Humanitarian Affairs,,,
122828,146444,Paid Contribution,09/07/2016,09/07/2016,3882913,14261940,"The provision of food in Aden during the period July-September / 2016
(Gov-YEM-009)","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2016,,,,Red Crescent Society of the United Arab Emirates,,2016,,,Red Cross/Red Crescent: National Society,,Yemen,,,Food Security,,,Yes,Gov-YEM-009,Traditional aid,07/12/2016,24/08/2016,1,,2016,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
122829,146445,Paid Contribution,09/07/2016,09/07/2016,1280697,4704000,Contributing to the operational budget in Aden during the period July-September / 2016Gov-YEM-010),"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2016,,,,Red Crescent Society of the United Arab Emirates,,2016,,,Red Cross/Red Crescent: National Society,,Yemen,,,Coordination and support services,,,Yes,Gov-YEM-010,Traditional aid,07/12/2016,24/08/2016,1,,2016,financial,3.673,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
122999,146630,Paid Contribution,01/08/2016,01/08/2016,2328,8550,A mobile clinic in the town of Tor al-Baha in Lahej province to provide free services to the residents of the town and surrounding areas (YEM-2016-113),"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2016,,,,Red Crescent Society of the United Arab Emirates,,2016,,,Red Cross/Red Crescent: National Society,,Yemen,,,Health,,,Yes,YEM-2016-113,Traditional aid,06/12/2016,29/08/2016,1,,2016,in kind,3.67268,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
123000,146631,Paid Contribution,16/08/2016,16/08/2016,,,"in-kind contribution for 1,500 food baskets, 750kg of dates and 300 tents in Abyan, Yemen.","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2016,,,,Red Crescent Society of the United Arab Emirates,,2016,,,Red Cross/Red Crescent: National Society,,Yemen,,,,,,Yes,,Traditional aid,29/08/2016,29/08/2016,1,,2016,in kind,,Emirati Dirham,,Standard,,,,
123001,146632,Paid Contribution,16/08/2016,16/08/2016,,,"Nine special vehicles  delivered to Under-Secretary of Aden Governorate by Emirates Red Crescent (ERC)  for combating epidemics that have spread across the governorate, such as dengue fever and malaria, due to the difficult conditions triggered by recent events.","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2016,,,,Red Crescent Society of the United Arab Emirates,,2016,,,Red Cross/Red Crescent: National Society,,Yemen,,,Health,,,Yes,,Traditional aid,29/08/2016,29/08/2016,1,,2016,in kind,,Emirati Dirham,,Standard,,,,
123002,146633,Paid Contribution,16/08/2016,16/08/2016,,,"Kuwait Red Crescent Society  (KRCS) delivered 60,000 baskets containing health-care and other necessary survival items in different Yemeni cities","Kuwait, Government of",Government: National government,,Kuwait,,2016,,,,Kuwait Red Crescent Society,,2016,,,Red Cross/Red Crescent: National Society,,Yemen,,,Health,,,Yes,,Traditional aid,01/11/2016,29/08/2016,1,,2016,in kind,,Emirati Dirham,,Standard,,,,
123003,146639,Paid Contribution,31/03/2016,01/03/2016,1500000,,"Support to Solid Waste Management, Debris Removal, and to Women Affected by War, through Cash for Work in Aden","Japan, Government of",Government: National government,,Japan,,2016,,,,United Nations Development Programme,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/ER/94609/R/776,Emergency Employment and Community Rehabilitation,Early Recovery,,,Yes,,Traditional aid,29/08/2016,29/08/2016,1,,2016,financial,,US Dollar,,Standard,United Nations Development Programme,,,
123005,146641,Paid Contribution,29/07/2016,29/07/2016,1000080,,"Health,Protection (USAID/OFDA)","United States of America, Government of",Government: National government,,United States,,2016,,,,United Nations Population Fund,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/SNYS/94599/R/1171,,,,,Yes,AID-OFDA-IO-16-00057,Traditional aid,13/09/2016,29/08/2016,1,,2016,financial,,US Dollar,,Standard,"United States of America, Government of",,,
123017,146653,Paid Contribution,29/08/2016,29/08/2016,,,"in-kind contribution for renovation of 34 schools in Dhala, Yemen","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2016,,,,Red Crescent Society of the United Arab Emirates,,2016,,,Red Cross/Red Crescent: National Society,,Yemen,,,Education,,,Yes,,Traditional aid,30/08/2016,30/08/2016,1,,2016,in kind,,Emirati Dirham,,Standard,,,,
123074,146720,Paid Contribution,30/08/2016,30/08/2016,,,"in-kind contribution for renovation of medicines and medical supplies in Abyan,","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2016,,,,Red Crescent Society of the United Arab Emirates,,2016,,,Red Cross/Red Crescent: National Society,,Yemen,,,Health,,,Yes,,Traditional aid,01/09/2016,01/09/2016,1,,2016,in kind,,Emirati Dirham,,Standard,,,,
123091,146737,Paid Contribution,20/08/2016,20/08/2016,185790,696713,Financial contribution to Ministry of Public Health and Population of Yemen and World Health Organization (through Ministry of Public Health and Population of Yemen),"Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2016,,,,"Yemen, Government of",,2016,,,Government: National government,,Yemen,,,Health,,,Yes,,Traditional aid,21/09/2016,02/09/2016,1,,2016,financial,3.750003,SAR,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
123092,146738,Paid Contribution,22/08/2016,22/08/2016,3894787,14605451,"Provision of medical care, medical equipments and health services in Saada province and its Directorates (through Saudi Government,  Saudi Medical Services  and Yemen Ministry of Public Health and Population )","Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2016,,,,"Yemen, Government of",,2016,,,Government: National government,,Yemen,,,Health,,,Yes,,Traditional aid,21/09/2016,02/09/2016,1,,2016,financial,3.75,SAR,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
123093,146739,Paid Contribution,22/08/2016,22/08/2016,3697961,13867354,"Provision of medical care, equipments and health services  in Hajja province and its directorates (through Saudi Government,  Saudi Medical Services  and Yemen Ministry of Public Health and Population )","Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2016,,,,"Yemen, Government of",,2016,,,Government: National government,,Yemen,,,Health,,,Yes,,Traditional aid,21/09/2016,02/09/2016,1,,2016,financial,3.75,SAR,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
123094,146740,Paid Contribution,22/08/2016,22/08/2016,266667,1000000,To support the coordination and peace building activities in Yemen,"Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2016,,,,"Yemen, Government of",,2016,,,Government: National government,,Yemen,,,Coordination and support services,,,Yes,,Traditional aid,02/09/2016,02/09/2016,1,,2016,financial,3.749995,SAR,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
123173,146876,Paid Contribution,04/09/2016,04/09/2016,1710844,,Provision of Humanitarian Air Services in Yemen,World Food Programme,UN agency,,Yemen,,2015,,,Coordination and support services,World Food Programme,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/CSS/92604/R/561,Logistics,Logistics,,,No,,,21/11/2017,07/09/2016,1,,2016,financial,,US Dollar,,Carryover,World Food Programme,,,
123174,146877,Paid Contribution,19/07/2016,19/07/2016,333000,,Logistics Support and Relief Commodities (SO 200841) (USAID/OFDA),"United States of America, Government of",Government: National government,,United States,,2016,,,,World Food Programme,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/CSS/92097/561,Logistics,Logistics,,,Yes,,Traditional aid,21/11/2017,07/09/2016,1,,2016,financial,,US Dollar,,Standard,World Food Programme,,,
123175,146878,Paid Contribution,19/08/2016,19/08/2016,3897621,,Logistics Support and Relief Commodities (SO 200841) (USAID/OFDA),"United States of America, Government of",Government: National government,,United States,,2016,,,,World Food Programme,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/CSS/92097/561,Logistics,Logistics,,,Yes,,Traditional aid,21/11/2017,07/09/2016,1,,2016,financial,,US Dollar,,Standard,"United States of America, Government of",,,
123195,146909,Paid Contribution,29/06/2016,29/06/2016,4500000,,Emergency Food Assistance to the Food Insecure and Conflict-Affected people in Yemen (EMOP 200890),"China, Government of",Government: National government,,China,,2016,,,,World Food Programme,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/F/92108/561,Food Security and Agriculture,Food Security,,,Yes,,Traditional aid,09/09/2016,09/09/2016,1,,2016,financial,,US Dollar,,Standard,World Food Programme,,,
123196,146910,Paid Contribution,04/09/2016,04/09/2016,38584162,,Emergency Food Assistance to the Food Insecure and Conflict-Affected people in Yemen (EMOP 200890),World Food Programme,UN agency,,Yemen,,2015,,,Food Security,World Food Programme,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/F/92108/561,Food Security and Agriculture,Food Security,,,No,,,09/09/2016,09/09/2016,1,,2016,financial,,US Dollar,,Carryover,World Food Programme,,,
123197,146911,Paid Contribution,29/06/2016,29/06/2016,4170429,,Emergency Food Assistance to the Food Insecure and Conflict-Affected people in Yemen (EMOP 200890),"United Kingdom, Government of",Government: National government,,United Kingdom,,2016,,,,World Food Programme,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/F/92108/561,Food Security and Agriculture,Food Security,,,Yes,,Traditional aid,09/09/2016,09/09/2016,1,,2016,financial,,US Dollar,,Standard,World Food Programme,,,
123198,146912,Paid Contribution,30/06/2016,30/06/2016,5000000,,Emergency Food Assistance to the Food Insecure and Conflict-Affected people in Yemen (USAID/FFP),"United States of America, Government of",Government: National government,,United States,,2016,,,,World Food Programme,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/F/92108/561,Food Security and Agriculture,Food Security,,,Yes,,Traditional aid,09/12/2016,09/09/2016,1,,2016,financial,,US Dollar,,Standard,World Food Programme,,,
123199,146913,Paid Contribution,07/06/2016,07/06/2016,6598767,,Emergency Food Assistance to the Food Insecure and Conflict-Affected people in Yemen  (USAID/FFP),"United States of America, Government of",Government: National government,,United States,,2016,,,,World Food Programme,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/F/92108/561,Food Security and Agriculture,Food Security,,,Yes,,Traditional aid,09/12/2016,09/09/2016,1,,2016,financial,,US Dollar,,Standard,World Food Programme,,,
123200,146914,Paid Contribution,08/08/2016,08/08/2016,16000000,,Emergency Food Assistance to the Food Insecure and Conflict-Affected people in Yemen  (USAID/FFP),"United States of America, Government of",Government: National government,,United States,,2016,,,,World Food Programme,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/F/92108/561,Food Security and Agriculture,Food Security,,,Yes,,Traditional aid,09/12/2016,09/09/2016,1,,2016,financial,,US Dollar,,Standard,"United States of America, Government of",,,
123201,146915,Paid Contribution,04/09/2015,04/09/2015,2781,,Emergency Food Assistance to the Food Insecure and Conflict-Affected people in Yemen  (USAID/FFP),"United States of America, Government of",Government: National government,,United States,,2016,,,,World Food Programme,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/F/92108/561,Food Security and Agriculture,Food Security,,,Yes,,Traditional aid,09/12/2016,09/09/2016,1,,2016,financial,,US Dollar,,Standard,"United States of America, Government of",,,
123202,146916,Paid Contribution,04/09/2015,04/09/2015,1300113,,Logistics & Emergency Telecommunications Augmentation and Coordination to Support Humanitarian Operations in Yemen (SO 200841) (Carryover from 2015- original funding USD16 million split between 2015-2016),"Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2015,,,,World Food Programme,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/CSS/92097/561,Logistics,Logistics,152931,,Yes,,Traditional aid,08/12/2017,09/09/2016,1,,2016,financial,,US Dollar,,Standard,World Food Programme,,,
123238,146960,Paid Contribution,01/01/2016,01/01/2016,27656476,19000000,"To contribute to a sustainable reduction in under-five mortality from under-nutrition in priority governorates in Yemen and to alleviating nutrition, health and WASH humanitarian needs (300031) (SM160268)","United Kingdom, Government of",Government: National government,,United Kingdom,,2016,,,,United Nations Children's Fund,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,,,,,,Yes,"300031, [EDRIS:78906]",Traditional aid,13/09/2016,13/09/2016,1,,2016,financial,0.687,Pound Sterling,,Standard,"United Kingdom, Government of",,,
123461,147263,Paid Contribution,04/09/2016,04/09/2016,611241,2245090,Providing 22938 food parcel in the province of Abyan (YEM-2016-115),"United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2016,,,,Red Crescent Society of the United Arab Emirates,,2016,,,Red Cross/Red Crescent: National Society,,Yemen,,,Food Security,,,Yes,YEM-2016-115,Traditional aid,06/12/2016,22/09/2016,1,,2016,in kind,3.673003,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
123462,147264,Paid Contribution,04/09/2016,04/09/2016,,,"in-kind contribution of food packages and NFIs in Hadramout, Yemen","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2016,,,,Red Crescent Society of the United Arab Emirates,,2016,,,Red Cross/Red Crescent: National Society,,Yemen,,,Food Security,,,Yes,,Traditional aid,22/09/2016,22/09/2016,1,,2016,in kind,,Emirati Dirham,,Standard,,,,
123535,147348,Paid Contribution,30/09/2016,27/09/2016,39318480,30000000,Yemen - ERF. OCT 5341,"United Kingdom, Government of",Government: National government,,United Kingdom,,2016,,,,Yemen Humanitarian Fund,,2016,,Yemen Humanitarian Response Plan 2016,Pooled fund: Country-based,,Yemen,,,,,,Yes,OCT 5341,Traditional aid,05/05/2017,27/09/2016,1,softly earmarked,2016,financial,0.763,Pound Sterling,,Standard,Yemen Humanitarian Fund,,,
123656,147519,Paid Contribution,28/09/2016,28/09/2016,1114827,1000000,"Man-made crises / Emergency Assistance for Refugees, Asylum Seekers and IDPs in Yemen (part of ECHO/YEM/BUD/2016/91005)",European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,,,2016,,,,United Nations High Commissioner for Refugees,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/SNYS/92111/120,,,152960,,Yes,"part of ECHO/YEM/BUD/2016/91005, [EDRIS:-36557]",Traditional aid,27/06/2017,03/10/2016,1,,2016,financial,0.897,European Euro,,Standard,European Commission's Humanitarian Aid and Civil Protection Department,,,
123678,147544,Paid Contribution,16/09/2016,16/09/2016,1199041,,Emergency Food Assistance to the Food Insecure and Conflict-Affected people in Yemen (EMOP 200890),"Norway, Government of",Government: National government,,Norway,,2016,,,,World Food Programme,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/F/92108/561,Food Security and Agriculture,Food Security,,,Yes,,Traditional aid,04/10/2016,04/10/2016,1,,2016,financial,,US Dollar,,Standard,World Food Programme,,,
123778,147649,Paid Contribution,06/10/2016,06/10/2016,67449,247740,"Provision of  (145 school kits,6272 school bags , and 500 tables with chairs) (Gov-YEM-099)","United Arab Emirates, Government of",Government: National government,,United Arab Emirates,,2016,,,,Red Crescent Society of the United Arab Emirates,,2016,,,Red Cross/Red Crescent: National Society,,Yemen,,,Education,,,Yes,Gov-YEM-099,Traditional aid,06/12/2016,07/10/2016,1,,2016,in kind,3.672997,Emirati Dirham,,Standard,"United Arab Emirates, Government of",,,
123821,147702,Paid Contribution,06/08/2016,06/08/2016,221308,829908,"In kind - Desert locusts control  (Aden provinces, Hadramout , Shabwa ,Marib, Jawf, Abyan and mahra )","Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2016,,,,"Yemen, Government of",,2016,,,Government: National government,,Yemen,,,Agriculture,,,Yes,,Traditional aid,21/11/2017,11/10/2016,1,,2016,in kind,3.750014,SAR,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
123822,147703,Paid Contribution,05/09/2016,05/09/2016,7893,29600,In kind - Food distributed to the Yemeni people at Al Wadiah Port in Yemen.,"Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2016,,,,"Yemen, Government of",,2016,,,Government: National government,,Yemen,,,Food Security,,,Yes,,Traditional aid,11/10/2016,11/10/2016,1,,2016,in kind,3.750158,SAR,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
123824,147706,Paid Contribution,31/07/2016,31/07/2016,3106666,,"In kind - 100,000 Food Parcels for 600,000 person for 4 months in Taiz, Al Gaherah, Al Zafr, Salaah, Sabr Al Modam, Mashara'at Wahdan and Al Misrakh through The Coalition Of Humanitarian Relief - Taiz","Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2016,,,,The Coalition Of Humanitarian Relief,,2016,,,NGO: Local,,Yemen,,,Food Security,,,Yes,,Traditional aid,19/12/2016,11/10/2016,1,,2016,in kind,,US Dollar,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
123869,147761,Paid Contribution,25/10/2016,11/10/2016,2061856,2000000,Yemen - ERF. (OCT 5346),"Switzerland, Government of",Government: National government,,Switzerland,,2016,,,,Yemen Humanitarian Fund,,2016,,Yemen Humanitarian Response Plan 2016,Pooled fund: Country-based,,Yemen,,,,,,Yes,OCT 5346,Traditional aid,27/10/2016,12/10/2016,1,softly earmarked,2016,financial,0.97,Swiss Franc,,Standard,,,,
123883,147775,Paid Contribution,11/10/2016,11/10/2016,1008969,1000000,Provision of humanitarian air and sea passenger services in Yemen (part of ECHO/YEM/BUD/2016/91016),European Commission's Humanitarian Aid and Civil Protection Department,Inter-governmental,,,,2016,,,,World Food Programme,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/CSS/92604/R/561,Logistics,Logistics,152960,,Yes,,Traditional aid,21/11/2017,15/03/2017,2,,2016,financial,0.9911,European Euro,,Standard,World Food Programme,,,
124111,148034,Paid Contribution,10/08/2016,10/08/2016,197368,,Thematic 8- Cross Sectoral - Yemen (SM1499101243),UNICEF National Committee/United Kingdom,Private organization/foundation: Local/National organization/foundation/individual,,,,2016,,,,United Nations Children's Fund,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,,,,,,Yes,SM1499101243,Traditional aid,18/10/2016,18/10/2016,1,,2016,financial,,US Dollar,,Standard,United Nations Children's Fund,,,
124112,148035,Paid Contribution,01/08/2016,01/08/2016,11978,,"Thematic Emergency Activities - Yemen (SM1499101017)
(through International On-line Donations)",,,,,,2016,,,,United Nations Children's Fund,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,,,,,,Yes,SM1499101017,Traditional aid,18/10/2016,18/10/2016,1,,2016,financial,,US Dollar,,Standard,United Nations Children's Fund,,,
124599,148741,Paid Contribution,26/08/2016,26/08/2016,2200000,825000,In kind - Provide medical supplies and intravenous solutions and dialysis equipments (through Yemeni Higher Committee for Relief Yemen and Ministry of Public Health and Population),"Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2016,,,,"Yemen, Government of",,2016,,,Government: National government,,Yemen,,,Health,,,Yes,,Traditional aid,31/10/2016,31/10/2016,1,,2016,in kind,0.375,SAR,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
124600,148742,Paid Contribution,26/08/2016,26/08/2016,80000,300000,In kind - Support the Yemeni health facilities with wheelchairs to serve people with special needs  (Disabled) (Yemeni Higher Committee for Relief Yemen and Ministry of Public Health and Population),"Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2016,,,,"Yemen, Government of",,2016,,,Government: National government,,Yemen,,,Health,,,Yes,,Traditional aid,31/10/2016,31/10/2016,1,,2016,in kind,3.75,SAR,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
124605,148747,Paid Contribution,24/10/2016,24/10/2016,4976470,18661762,"Health services and medical treatments of the wounded Yemeni people, Yemeni Ministry of Public Health and Population (through Yemeni Ministry of Public Health and Population)","Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2016,,,,"Yemen, Government of",,2016,,,Government: National government,,Yemen,,,Health,,,Yes,,Traditional aid,31/10/2016,31/10/2016,1,,2016,financial,3.75,SAR,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
124606,148748,Paid Contribution,26/08/2016,26/08/2016,6600000,24750000,"Provide medical treatment and care through Alwaly, Naqieb/alburaihy, Saber, AL Rawdhah - Taiz, alburaihy - Taiz, Alwaly and Al Safwa Hospitals (through Yemeni Ministry of Public Health and Population)","Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2016,,,,"Yemen, Government of",,2016,,,Government: National government,,Yemen,,,Health,,,Yes,,Traditional aid,31/10/2016,31/10/2016,1,,2016,in kind,3.75,SAR,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
124607,148749,Paid Contribution,11/10/2016,11/10/2016,3000000,,Provide Water and environmental sanitation for the Yemeni IDPs and host communities.,"Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2016,,,,International Medical Corps,,2016,,Yemen Humanitarian Response Plan 2016,NGO: International,,Yemen,YEM-16/WS/99310/R/5160,"Water, Sanitation and Hygiene",Water Sanitation Hygiene,,,Yes,,Traditional aid,19/12/2016,31/10/2016,1,,2016,financial,,US Dollar,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
124608,148750,Paid Contribution,17/10/2016,17/10/2016,3174046,11902673,"Provided medical supplies, artificial limbs  and Medical equipment (through Yemeni Ministry of Public Health and Population)","Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2016,,,,"Yemen, Government of",,2016,,,Government: National government,,Yemen,,,Health,,,Yes,,Traditional aid,31/10/2016,31/10/2016,1,,2016,in kind,3.75,SAR,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
124611,148754,Paid Contribution,17/10/2016,17/10/2016,3174046,11902673,"Provided medical supplies, artificial limbs  and Medical equipment (through Yemeni Ministry of Public Health and Population) (Marib Hospital)","Saudi Arabia (Kingdom of), Government of",Government: National government,,Saudi Arabia,,2016,,,,"Yemen, Government of",,2016,,,Government: National government,,Yemen,,,Health,,,Yes,,Traditional aid,01/11/2016,01/11/2016,1,,2016,in kind,3.75,SAR,,Standard,"Saudi Arabia (Kingdom of), Government of",,,
124669,148814,Paid Contribution,17/11/2016,28/10/2016,5493446,570000000,Food Security,"Japan, Government of",Government: National government,,Japan,,2016,,,,World Food Programme,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/F/92108/561,Food Security and Agriculture,Food Security,,,Yes,,Traditional aid,03/02/2017,03/02/2017,2,,2016,financial,103.76,Japanese Yen,,Standard,"Japan, Government of",,,
124670,148815,Paid Contribution,21/10/2016,21/10/2016,1092896,1000000,"Provision of winterization/shelter and NFI assistance to vulnerable IDP Households in Al-Jawf, Ibb, Taizz and Sa'ada","Germany, Government of",Government: National government,,Germany,,2016,,,,International Organization for Migration,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/MS/93363/R/298,Refugee and Migrant Multi-Sector Response Plan,Multi-sector,,,Yes,,Traditional aid,02/11/2016,02/11/2016,1,,2016,financial,0.915,European Euro,,Standard,International Organization for Migration,,,
124671,148817,Paid Contribution,11/05/2016,11/05/2016,301000,,"Promoting the health and wellbeing amongst migrants transiting through Morocco, Egypt, Tunisia, Yemen and Libya","Finland, Government of",Government: National government,,Finland,,2016,,,,International Organization for Migration,,2016,,Yemen Humanitarian Response Plan 2016,UN agency,,Yemen,YEM-16/H/93360/R/298,Health,Health,,,Yes,,Traditional aid,02/11/2016,02/11/2016,1,,2016,financial,,US Dollar,,Standard,International Organization for Migration,,,
